study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments	raw
Seman2013	NA	EMP0.5	6.0	EMP0.5	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP0.5	NA	hr	NA	46.4158883361278	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP0.5	6.0	EMP0.5	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP0.5	NA	hr	NA	54.1574452682048	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP0.5	6.0	EMP0.5	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP0.5	NA	hr	NA	61.5849366378664	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP0.5	6.0	EMP0.5	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP0.5	NA	hr	NA	98.6584694209807	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP2.5	6.0	EMP2.5	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP2.5	NA	hr	NA	327.406111398816	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP2.5	6.0	EMP2.5	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP2.5	NA	hr	NA	372.308636891776	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP2.5	6.0	EMP2.5	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP2.5	NA	hr	NA	423.36937606936	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP2.5	6.0	EMP2.5	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP2.5	NA	hr	NA	461.243572163192	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP10	6.0	EMP10	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP10	NA	hr	NA	1183.72297295082	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP10	6.0	EMP10	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP10	NA	hr	NA	1404.98552144307	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP10	6.0	EMP10	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP10	NA	hr	NA	1597.67403884521	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP10	6.0	EMP10	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP10	NA	hr	NA	1979.31717883721	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP10	6.0	EMP10	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP10	NA	hr	NA	2156.38489133726	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP25	6.0	EMP25	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP25	NA	hr	NA	2559.45826871547	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP25	6.0	EMP25	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP25	NA	hr	NA	3037.87447946437	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP25	6.0	EMP25	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP25	NA	hr	NA	3763.54437648688	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP25	6.0	EMP25	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP25	NA	hr	NA	4100.22724912703	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP25	6.0	EMP25	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP25	NA	hr	NA	4279.70043291197	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP25	6.0	EMP25	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP25	NA	hr	NA	4866.64536491105	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP50	5.0	EMP50	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP50	NA	hr	NA	10983.3069239892	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP50	5.0	EMP50	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP50	NA	hr	NA	8493.76930298773	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP50	5.0	EMP50	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP50	NA	hr	NA	7156.13769497371	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP100	5.0	EMP100	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP100	NA	hr	NA	19169.195246668	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP100	5.0	EMP100	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP100	NA	hr	NA	16857.2819764604	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP100	5.0	EMP100	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP100	NA	hr	NA	15473.0762298281	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP100	5.0	EMP100	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP100	NA	hr	NA	12489.6264518818	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP200	6.0	EMP200	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP200	NA	hr	NA	39709.6824776707	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP200	6.0	EMP200	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP200	NA	hr	NA	36448.9924827303	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP200	6.0	EMP200	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP200	NA	hr	NA	33456.0482510325	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP200	6.0	EMP200	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP200	NA	hr	NA	27005.2017455982	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP200	6.0	EMP200	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP200	NA	hr	NA	23748.2218110266	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP400	6.0	EMP400	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP400	NA	hr	NA	58390.9313965577	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP400	6.0	EMP400	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP400	NA	hr	NA	53596.2638515057	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP400	6.0	EMP400	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP400	NA	hr	NA	47132.2515631762	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP400	6.0	EMP400	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP400	NA	hr	NA	41447.8356843921	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP400	6.0	EMP400	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP400	NA	hr	NA	29421.0597747314	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP800	6.0	EMP800	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP800	NA	hr	NA	84041.0886495675	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP800	6.0	EMP800	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP800	NA	hr	NA	72339.019594415	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP800	6.0	EMP800	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP800	NA	hr	NA	66399.0295789334	NA	NA	NA	nmol/l	NA	NA
Seman2013	NA	EMP800	6.0	EMP800	auc_inf	empagliflozin	plasma	HPLC MS/MS	auc_EMP800	NA	hr	NA	53596.2638515057	NA	NA	NA	nmol/l	NA	NA
